
4K直播,#genre#
CCTV-6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000016466/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265006/#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/index.m3u8
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000005000026715/index.m3u8?channel-id=bestzb&Contentid=5000000005000026715&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265007/#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000504/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000504#http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010214/#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000018384/index.m3u8?channel-id=bestzb&Contentid=5000000010000018384&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000028286/index.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=3#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000505/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000505#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/1.m3u8#http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010217/1.m3u8#http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010217/#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000032494/#http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010052/1.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000016738/index.m3u8?channel-id=bestzb&Contentid=5000000010000016738&livemode=1&stbId=3#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000506/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000506#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265010/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3#http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010203/1.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000012827/
CCTV-11,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000019789/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=3#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000509/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000509#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000508/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000508
CCTV-12,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000509/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000509#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV-13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000021303/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000510/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000510
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021349/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000006673/#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000511/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000511#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265013/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3
CCTV-15,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031109/#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000512/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000512
CCTV-16,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000016/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000016#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000233001/1.m3u8#http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010052/#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/main.m3u8
CCTV-17,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010078/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/index.m3u8#http://[2409:8087:74f0:22::4]:6410/270000001128/9900000513/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000513#http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000268004/
CCTV-1(高清),http://47.93.215.244:80/udp/225.1.8.1:8008
CCTV-2(高清),http://47.93.215.244:80/udp/225.1.8.2:8084
CCTV-3(高清),http://47.93.215.244:80/udp/225.1.8.88:8000
CCTV-4(高清),http://47.93.215.244:80/udp/225.1.8.4:8092
CCTV-5(高清),http://47.93.215.244:80/udp/225.1.8.89:8000
CCTV-5+(高清),http://47.93.215.244:80/udp/225.1.8.20:8004
CCTV-6(高清),http://47.93.215.244:80/udp/225.1.8.84:8000
CCTV-7(高清),http://47.93.215.244:80/udp/225.1.8.7:8104
CCTV-8(高清),http://47.93.215.244:80/udp/225.1.8.85:8000
CCTV-9(高清),http://47.93.215.244:80/udp/225.1.8.9:8112
CCTV-10(高清),http://47.93.215.244:80/udp/225.1.8.10:8116
CCTV-11(高清),http://47.93.215.244:80/udp/225.1.8.73:8120
CCTV-12(高清),http://47.93.215.244:80/udp/225.1.8.12:8124
CCTV-13(高清),http://47.93.215.244:80/udp/225.1.8.168:8130
CCTV-14(高清),http://47.93.215.244:80/udp/225.1.8.14:8132
CCTV-15(高清),http://47.93.215.244:80/udp/225.1.8.74:8136
CCTV-16(测试),http://47.93.215.244:80/udp/225.1.8.17:8144
CCTV-17(高清),http://47.93.215.244:80/udp/225.1.8.17:8144
CETV-1,http://47.93.215.244:80/udp/225.1.8.32:8152
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://60.6.255.8:2180/live/cctv1/index.m3u8
CCTV1,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.6.255.8:2180/live/cctv2/index.m3u8
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV2,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.6.255.8:2180/live/cctv3/index.m3u8
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV3,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.6.255.8:2180/live/cctv4/index.m3u8
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV4,http://222.223.118.222:2180/live/cctv4/index.m3u8
CCTV4,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://60.6.255.8:2180/live/cctv5/index.m3u8
CCTV5,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5,http://222.223.118.222:2180/live/cctv5/index.m3u8
CCTV5,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://60.6.255.8:2180/live/cctv5q/index.m3u8
CCTV5+,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV5+,http://222.223.118.222:2180/live/cctv5q/index.m3u8
CCTV5+,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV5+,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://60.6.255.8:2180/live/cctv6/index.m3u8
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV6,http://222.223.118.222:2180/live/cctv6/index.m3u8
CCTV6,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.6.255.8:2180/live/cctv7/index.m3u8
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV7,http://222.223.118.222:2180/live/cctv7/index.m3u8
CCTV7,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV7,http://222.241.154.37:9901/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://60.6.255.8:2180/live/cctv8/index.m3u8
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV8,http://222.223.118.222:2180/live/cctv8/index.m3u8
CCTV8,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://60.6.255.8:2180/live/cctv9/index.m3u8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV9,http://222.223.118.222:2180/live/cctv9/index.m3u8
CCTV9,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://60.6.255.8:2180/live/cctv10/index.m3u8
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV10,http://222.223.118.222:2180/live/cctv10/index.m3u8
CCTV10,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV10,http://222.241.154.37:9901/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://60.6.255.8:2180/live/cctv11/index.m3u8
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV11,http://222.223.118.222:2180/live/cctv11/index.m3u8
CCTV11,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV11,http://222.241.154.37:9901/tsfile/live/23011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://60.6.255.8:2180/live/cctv12/index.m3u8
CCTV12,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv12
CCTV12,http://222.223.118.222:2180/live/cctv12/index.m3u8
CCTV12,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV12,http://222.241.154.37:9901/tsfile/live/23012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://60.6.255.8:2180/live/cctv13/index.m3u8
CCTV13,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv13
CCTV13,http://222.223.118.222:2180/live/cctv13/index.m3u8
CCTV13,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV13,http://222.241.154.37:9901/tsfile/live/23013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://60.6.255.8:2180/live/cctv14/index.m3u8
CCTV14,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv14
CCTV14,http://222.223.118.222:2180/live/cctv14/index.m3u8
CCTV14,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV14,http://222.241.154.37:9901/tsfile/live/23014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://60.6.255.8:2180/live/cctv15/index.m3u8
CCTV15,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv15
CCTV15,http://222.223.118.222:2180/live/cctv15/index.m3u8
CCTV15,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV15,http://222.241.154.37:9901/tsfile/live/23015_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://47.93.215.244:80/udp/225.1.8.21:8002
北京卫视2http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024052703.m3u8
北京文艺,http://47.93.215.244:80/udp/225.1.8.22:8002
北京科教,http://47.93.215.244:80/udp/225.1.8.105:8002
北京影视,http://47.93.215.244:80/udp/225.1.8.82:8000
北京财经,http://47.93.215.244:80/udp/225.1.8.106:8002
北京冬奥纪实,http://47.93.215.244:80/udp/225.1.8.23:8002
北京生活,http://47.93.215.244:80/udp/225.1.8.108:8002
北京青年,http://47.93.215.244:80/udp/225.1.8.118:8002
北京新闻,http://47.93.215.244:80/udp/225.1.8.83:8000
北京卡酷少儿,http://47.93.215.244:80/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://47.93.215.244:80/udp/225.1.8.120:8002
北京冬奥纪实 4K,http://47.93.215.244:80/udp/225.1.8.164:8002
房山,http://47.93.215.244:80/udp/225.1.8.68:8002
朝阳融媒,http://47.93.215.244:80/udp/225.1.8.69:8002
密云,http://47.93.215.244:80/udp/225.1.8.75:8002
湖南卫视,http://47.93.215.244:80/udp/225.1.8.41:8012
黑龙江卫视,http://47.93.215.244:80/udp/225.1.8.42:8016
深圳卫视,http://47.93.215.244:80/udp/225.1.8.43:8020
江苏卫视,http://47.93.215.244:80/udp/225.1.8.44:8028
东方卫视,http://47.93.215.244:80/udp/225.1.8.45:8032
浙江卫视,http://47.93.215.244:80/udp/225.1.8.46:8036
湖北卫视,http://47.93.215.244:80/udp/225.1.8.47:8044
天津卫视,http://47.93.215.244:80/udp/225.1.8.48:8044
广东卫视,http://47.93.215.244:80/udp/225.1.8.49:8048
山东卫视,http://47.93.215.244:80/udp/225.1.8.50:8052
辽宁卫视,http://47.93.215.244:80/udp/225.1.8.51:8056
安徽卫视,http://47.93.215.244:80/udp/225.1.8.52:8064
河北卫视,http://47.93.215.244:80/udp/225.1.8.76:8002
贵州卫视,http://47.93.215.244:80/udp/225.1.8.77:8076
东南卫视,http://47.93.215.244:80/udp/225.1.8.79:8148
江西卫视,http://47.93.215.244:80/udp/225.1.8.171:8166
重庆卫视,http://47.93.215.244:80/udp/225.1.8.172:8162
金鹰纪实,http://47.93.215.244:80/udp/225.1.8.31:8156
纪实人文,http://47.93.215.244:80/udp/225.1.8.53:8060
快乐垂钓,http://47.93.215.244:80/udp/225.1.8.71:8002
茶频道,http://47.93.215.244:80/udp/225.1.8.72:8002
每日影院,http://47.93.215.244:80/udp/225.1.8.97:8002
幸福剧场,http://47.93.215.244:80/udp/225.1.8.98:8002
幸福娱乐,http://47.93.215.244:80/udp/225.1.8.99:8002
风尚生活,http://47.93.215.244:80/udp/225.1.8.103:8002
浙江卫视,http://47.93.215.244:80/udp/225.1.8.46:8036
湖北卫视,http://47.93.215.244:80/udp/225.1.8.47:8044
天津卫视,http://47.93.215.244:80/udp/225.1.8.48:8044
广东卫视,http://47.93.215.244:80/udp/225.1.8.49:8048
山东卫视,http://47.93.215.244:80/udp/225.1.8.50:8052
辽宁卫视,http://47.93.215.244:80/udp/225.1.8.51:8056
安徽卫视,http://47.93.215.244:80/udp/225.1.8.52:8064
河北卫视,http://47.93.215.244:80/udp/225.1.8.76:8002
贵州卫视,http://47.93.215.244:80/udp/225.1.8.77:8076
东南卫视,http://47.93.215.244:80/udp/225.1.8.79:8148
江西卫视,http://47.93.215.244:80/udp/225.1.8.171:8166
重庆卫视,http://47.93.215.244:80/udp/225.1.8.172:8162
金鹰纪实,http://47.93.215.244:80/udp/225.1.8.31:8156
纪实人文,http://47.93.215.244:80/udp/225.1.8.53:8060
快乐垂钓,http://47.93.215.244:80/udp/225.1.8.71:8002
茶频道,http://47.93.215.244:80/udp/225.1.8.72:8002
每日影院,http://47.93.215.244:80/udp/225.1.8.97:8002
幸福剧场,http://47.93.215.244:80/udp/225.1.8.98:8002
幸福娱乐,http://47.93.215.244:80/udp/225.1.8.99:8002
风尚生活,http://47.93.215.244:80/udp/225.1.8.103:8002
CCTV4,http://47.93.215.244:80/udp/225.1.8.104:8216
CCTV5,http://47.93.215.244:80/udp/225.1.8.93:8000
CCTV6,http://47.93.215.244:80/udp/225.1.8.90:8000
CCTV7,http://47.93.215.244:80/udp/225.1.8.107:8024
CCTV8,http://47.93.215.244:80/udp/225.1.8.91:8000
CCTV9,http://47.93.215.244:80/udp/225.1.8.109:8032
CCTV10,http://47.93.215.244:80/udp/225.1.8.110:8228
CCTV11,http://47.93.215.244:80/udp/225.1.8.111:8040
CCTV12,http://47.93.215.244:80/udp/225.1.8.112:8232
CCTV13,http://47.93.215.244:80/udp/225.1.8.113:8264
CCTV14,http://47.93.215.244:80/udp/225.1.8.114:8236
CCTV15,http://47.93.215.244:80/udp/225.1.8.115:8052
CCTV17,http://47.93.215.244:80/udp/225.1.8.117:8064
CGTN,http://47.93.215.244:80/udp/225.1.8.116:8056
CETV1,http://47.93.215.244:80/udp/225.1.8.169:4120
CETV2,http://47.93.215.244:80/udp/225.1.8.193:4120
CETV3,http://47.93.215.244:80/udp/225.1.8.194:4120
CETV4,http://47.93.215.244:80/udp/225.1.8.195:4120
北京卫视,http://47.93.215.244:80/udp/225.1.8.121:8002
北京文艺,http://47.93.215.244:80/udp/225.1.8.122:8002
北京科教,http://47.93.215.244:80/udp/225.1.8.123:8002
北京影视,http://47.93.215.244:80/udp/225.1.8.124:8002
北京财经,http://47.93.215.244:80/udp/225.1.8.125:8002
北京冬奥纪实,http://47.93.215.244:80/udp/225.1.8.126:8002
北京生活,http://47.93.215.244:80/udp/225.1.8.127:8002
北京青年,http://47.93.215.244:80/udp/225.1.8.128:8002
北京新闻,http://47.93.215.244:80/udp/225.1.8.129:8002
北京卡酷少儿,http://47.93.215.244:80/udp/225.1.8.130:8002
北京国际,http://47.93.215.244:80/udp/225.1.8.131:8002
湖南卫视,http://47.93.215.244:80/udp/225.1.8.132:8064
浙江卫视,http://47.93.215.244:80/udp/225.1.8.133:8284
江苏卫视,http://47.93.215.244:80/udp/225.1.8.134:8276
安徽卫视,http://47.93.215.244:80/udp/225.1.8.135:8272
天津卫视,http://47.93.215.244:80/udp/225.1.8.136:8144
辽宁卫视,http://47.93.215.244:80/udp/225.1.8.137:8116
山东卫视,http://47.93.215.244:80/udp/225.1.8.138:8148
云南卫视,http://47.93.215.244:80/udp/225.1.8.139:8108
河南卫视,http://47.93.215.244:80/udp/225.1.8.140:8128
黑龙江卫视,http://47.93.215.244:80/udp/225.1.8.141:8196
四川卫视,http://47.93.215.244:80/udp/225.1.8.142:8288
江西卫视,http://47.93.215.244:80/udp/225.1.8.143:8280
贵州卫视,http://47.93.215.244:80/udp/225.1.8.144:8120
深圳卫视,http://47.93.215.244:80/udp/225.1.8.145:9244
湖北卫视,http://47.93.215.244:80/udp/225.1.8.146:8136
东方卫视,http://47.93.215.244:80/udp/225.1.8.147:8192
重庆卫视,http://47.93.215.244:80/udp/225.1.8.148:8296
东南卫视,http://47.93.215.244:80/udp/225.1.8.149:8112
河北卫视,http://47.93.215.244:80/udp/225.1.8.150:8292
广东卫视,http://47.93.215.244:80/udp/225.1.8.151:8132
南方卫视,http://47.93.215.244:80/udp/225.1.8.225:5008
广西卫视,http://47.93.215.244:80/udp/225.1.8.152:8300
吉林卫视,http://47.93.215.244:80/udp/225.1.8.153:8200
陕西卫视,http://47.93.215.244:80/udp/225.1.8.154:8140
山西卫视,http://47.93.215.244:80/udp/225.1.8.155:8172
内蒙古卫视,http://47.93.215.244:80/udp/225.1.8.156:8176
青海卫视,http://47.93.215.244:80/udp/225.1.8.157:8184
海南卫视,http://47.93.215.244:80/udp/225.1.8.158:8304
宁夏卫视,http://47.93.215.244:80/udp/225.1.8.159:8124
西藏卫视,http://47.93.215.244:80/udp/225.1.8.160:8164
新疆卫视,http://47.93.215.244:80/udp/225.1.8.161:8160
甘肃卫视,http://47.93.215.244:80/udp/225.1.8.162:8188
厦门卫视,http://47.93.215.244:80/udp/225.1.8.166:4120
兵团卫视,http://47.93.215.244:80/udp/225.1.8.167:4120
山东教育卫视,http://47.93.215.244:80/udp/225.1.8.190:4120
三沙卫视,http://47.93.215.244:80/udp/225.1.8.78:4120
金鹰卡通,http://47.93.215.244:80/udp/225.1.8.163:9252
财富天下,http://47.93.215.244:80/udp/225.1.8.165:9136
嘉佳卡通,http://47.93.215.244:80/udp/225.1.8.170:9268
IPTV收视指南,http://47.93.215.244:80/udp/225.1.8.201:8012
IPTV热播剧场,http://47.93.215.244:80/udp/225.1.8.202:9020
IPTV经典电影,http://47.93.215.244:80/udp/225.1.8.203:9024
IPTV魅力时尚,http://47.93.215.244:80/udp/225.1.8.204:9012
IPTV少儿动画,http://47.93.215.244:80/udp/225.1.8.207:9000
城市剧场,http://47.93.215.244:80/udp/225.1.8.227:4120
军旅剧场,http://47.93.215.244:80/udp/225.1.8.228:4120
古装剧场,http://47.93.215.244:80/udp/225.1.8.229:4120
音乐现场,http://47.93.215.244:80/udp/225.1.8.230:4120
地理,http://47.93.215.244:80/udp/225.1.8.231:4120
美妆,http://47.93.215.244:80/udp/225.1.8.232:4120
美人,http://47.93.215.244:80/udp/225.1.8.233:4120
精选,http://47.93.215.244:80/udp/225.1.8.234:4120
解密,http://47.93.215.244:80/udp/225.1.8.235:4120
军事,http://47.93.215.244:80/udp/225.1.8.236:4120
国学,http://47.93.215.244:80/udp/225.1.8.237:4120
戏曲,http://47.93.215.244:80/udp/225.1.8.238:4120
早教,http://47.93.215.244:80/udp/225.1.8.239:4120
动画,http://47.93.215.244:80/udp/225.1.8.240:4120
好学生,http://47.93.215.244:80/udp/225.1.8.241:4120
鉴赏,http://47.93.215.244:80/udp/225.1.8.242:4120
墨宝,http://47.93.215.244:80/udp/225.1.8.243:4120
光影,http://47.93.215.244:80/udp/225.1.8.244:4120
台球,http://47.93.215.244:80/udp/225.1.8.245:4120
爱生活,http://47.93.215.244:80/udp/225.1.8.246:4120
武术,http://47.93.215.244:80/udp/225.1.8.247:4120
高网,http://47.93.215.244:80/udp/225.1.8.248:4120
足球,http://47.93.215.244:80/udp/225.1.8.249:4120
武侠剧场,http://47.93.215.244:80/udp/225.1.8.250:4120
喜剧影院,http://47.93.215.244:80/udp/225.1.8.251:4120
动作影院,http://47.93.215.244:80/udp/225.1.8.252:4120
家庭影院,http://47.93.215.244:80/udp/225.1.8.253:4120
星影,http://47.93.215.244:80/udp/225.1.8.254:4120
聚鲨环球精选,http://47.93.215.244:80/udp/225.1.8.67:8002
聚鲨北京,http://47.93.215.244:80/udp/225.1.8.70:8002
聚鲨健康,http://47.93.215.244:80/udp/225.1.8.94:8002
聚鲨生活,http://47.93.215.244:80/udp/225.1.8.95:8002
聚鲨国际,http://47.93.215.244:80/udp/225.1.8.96:8002
江西卫视,http://47.93.215.244:80/udp/225.1.1.9:8164
CCTV13,http://47.93.215.244:80/udp/225.1.1.10:8128

重庆频道1125更新,#genre#
重庆卫视,http://125.82.168.238:8888/rtp/235.254.196.249:1268
CQTV影视,http://125.82.168.238:8888/rtp/235.254.198.180:7980
CQTV都市 ,
http://125.82.168.238:8888/rtp/235.254.198.181:7980
CQTV时尚,
http://125.82.168.238:8888/rtp/235.254.198.182:7980
CQTV娱乐,http://125.82.168.238:8888/rtp/235.254.198.187:7980
CQTV公共农名,http://125.82.168.238:8888/rtp/235.254.198.186:7980
CQTV少儿,http://125.82.168.238:8888/rtp/235.254.196.214:1128
CQTV科教,http://125.82.168.238:8888/rtp/235.254.196.215:1132
CQTV生活,http://125.82.168.238:8888/rtp/235.254.196.216:1136
CQTV汽摩,http://125.82.168.238:8888/rtp/235.254.196.221:1156
睛彩重庆,http://125.82.168.238:8888/rtp/235.254.196.218:1146
